id,created_at,title,description,image_url,estimated_cost,steps,difficulty_level
1,2024-03-20 00:00:00,Get the First Level,Advance through the first milestone in your personal development.,https://images.unsplash.com/photo-1486312338219-ce68d2c6f44d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3,Free,0,"[""Watch all tutorial videos"", ""Complete practice exercises"", ""Pass the level 1 assessment""]"
2,2024-03-27 00:00:00+00,Travel to Japan,"Visit Tokyo, Kyoto, and Mount Fuji during cherry blossom season.","https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8amFwYW58ZW58MHx8MHx8fDA%3D","$5,000","[""Save $5,000 for the trip"", ""Research and book flights"", ""Plan itinerary for Tokyo, Kyoto, and Osaka"", ""Learn basic Japanese phrases"", ""Apply for Japan visa""]",13
3,2024-03-27 00:00:00+00,Start a Business,"Launch my own startup focused on sustainable products.","https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8YnVzaW5lc3N8ZW58MHx8MHx8fDA%3D","$10,000","[""Develop business plan"", ""Secure initial funding"", ""Create prototype products"", ""Build website and online presence"", ""Launch marketing campaign""]",13
4,2024-03-27 00:00:00+00,Run a Marathon,"Train for and complete a full marathon in under 4 hours.","https://images.unsplash.com/photo-1461897104016-0b3b00cc81ee?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bWFyYXRob258ZW58MHx8MHx8fDA%3D","$300","[""Follow 16-week training plan"", ""Complete a half marathon"", ""Purchase proper running shoes"", ""Register for marathon event"", ""Develop nutrition strategy""]",13
5,2024-03-27 00:00:00+00,Write a Book,"Complete a novel of at least 50,000 words and publish it.","https://images.unsplash.com/photo-1519682577862-22b62b24e493?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8Ym9va3xlbnwwfHwwfHx8MA%3D%3D","$2,000","[""Finish first draft (60,000 words)"", ""Revise and edit manuscript"", ""Find beta readers for feedback"", ""Research literary agents"", ""Submit to publishers or self-publish""]",15
6,2024-03-27 00:00:00+00,Learn to Surf,"Take surfing lessons and be able to ride waves confidently.","https://images.unsplash.com/photo-1502680390469-be75c86b636f?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8c3VyZnxlbnwwfHwwfHx8MA%3D%3D","$800","[""Take beginner surfing lessons"", ""Purchase surfboard and wetsuit"", ""Practice paddling and pop-up technique"", ""Learn to read wave patterns"", ""Successfully ride 10 waves in a session""]",16
7,2024-03-27 00:00:00+00,Build a Tiny House,"Design and build a sustainable tiny house on wheels.","https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8dGlueSUyMGhvdXNlfGVufDB8fDB8fHww","$50,000","[""Design house plans"", ""Acquire building permits"", ""Purchase materials"", ""Learn construction skills"", ""Build foundation and frame""]",18
8,2024-03-27 00:00:00+00,Adopt a Dog,"Adopt a rescue dog and train them to be a therapy animal.","https://images.unsplash.com/photo-1543466835-00a7907e9de1?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8ZG9nfGVufDB8fDB8fHww","$1,000 initial + $100/month","[""Research dog breeds suitable for my lifestyle"", ""Dog-proof home and yard"", ""Purchase supplies (bed, food, toys, etc.)"", ""Visit local shelters"", ""Complete adoption process""]",3
9,2024-03-27 00:00:00+00,Star Gazing Trip,"Visit a dark sky reserve and photograph the Milky Way.","https://images.unsplash.com/photo-1419242902214-272b3f66ee7a?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8c3RhcnN8ZW58MHx8MHx8fDA%3D","$1,200","[""Research dark sky reserves"", ""Purchase telescope and astronomy guide"", ""Learn to identify major constellations"", ""Book accommodations near reserve"", ""Plan observation schedule around moon phases""]",2
10,2024-03-27 00:00:00+00,Confirm Humanity,"Verify your identity and activate full platform features.","https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3",Free,"[""Upload identification documents"", ""Complete verification questionnaire"", ""Pass the security check""]",1
11,2024-03-27 00:00:00+00,Plan Passive Income,"Create a strategy for building sustainable passive income streams.","https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3",Varies,"[""Research passive income opportunities"", ""Select 3 viable income streams"", ""Create implementation timeline""]",4
12,2024-03-27 00:00:00+00,Complete 3 Tasks,"Complete three tasks related to your selected goal to build momentum.","https://blush-keen-constrictor-906.mypinata.cloud/ipfs/bafkreig67kt5udbntrhd3cijejxrz57a4fsegwr6hspcxmokliq6yqtzpi",Free,"[""Complete task #1: Platform orientation"", ""Complete task #2: Goal setting"", ""Complete task #3: Community introduction""]",1
13,2024-03-27 00:00:00+00,Track Progress,"Monitor your progress and celebrate small wins along the way.","https://images.unsplash.com/photo-1518770660439-4636190af475?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3",Free,"[""Set up progress tracking dashboard"", ""Establish weekly review routine"", ""Create milestone celebration plan""]",1
14,2024-03-27 00:00:00+00,Learn Piano,"Take piano lessons and learn to play my favorite songs.","https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8cGlhbm98ZW58MHx8MHx8fDA%3D","$1,200/year","[""Find a piano teacher"", ""Purchase or rent a keyboard"", ""Practice 30 minutes daily"", ""Learn to read sheet music"", ""Master 5 songs by end of year""]",11 